time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_W,sim_dBm
1760541662.358898,2025-10-15 17:21:02,48.685393,-61.9818535,-67.648749,-62.1155169,-61.9818535,-67.648749,-62.1155169,37.87632074005233,45.78367785539831
1760541662.385897,2025-10-15 17:21:02,48.712391,-61.9818535,-67.6735374,-62.1155169,-61.9818535,-67.6735374,-62.1155169,36.71595765083395,45.64854860258631
1760541662.397494,2025-10-15 17:21:02,48.723989,-61.9366827,-67.6735374,-62.1155169,-61.9366827,-67.6735374,-62.1155169,36.23063209842464,45.59075911027723
1760541662.404010,2025-10-15 17:21:02,48.730504,-61.9366827,-67.6735374,-62.0995421,-61.9366827,-67.6735374,-62.0995421,35.96119987102863,45.558341738474326
1760541662.446007,2025-10-15 17:21:02,48.772502,-61.9366827,-71.5795799,-62.0995421,-61.9366827,-71.5795799,-62.0995421,34.25486319595609,45.347222374119625
1760541662.449010,2025-10-15 17:21:02,48.775505,-61.9529806,-71.5795799,-62.0995421,-61.9529806,-71.5795799,-62.0995421,34.137326570208785,45.33229506782571
1760541662.455009,2025-10-15 17:21:02,48.781503,-61.9529806,-71.5795799,-62.1148138,-61.9529806,-71.5795799,-62.1148138,33.9035580224624,45.302452778029846
1760541662.493567,2025-10-15 17:21:02,48.820062,-61.9529806,-63.879626,-62.1148138,-61.9529806,-63.879626,-62.1148138,32.42513102747209,45.10881739710416
1760541662.496574,2025-10-15 17:21:02,48.823069,-61.9751138,-63.879626,-62.1148138,-61.9751138,-63.879626,-62.1148138,32.31373144652107,45.093871113157945
1760541662.499574,2025-10-15 17:21:02,48.826068,-61.9751138,-63.879626,-62.1114751,-61.9751138,-63.879626,-62.1114751,32.202978436974085,45.07896041227578
1760541662.540081,2025-10-15 17:21:02,48.866575,-61.9751138,-63.0056078,-62.1114751,-61.9751138,-63.0056078,-62.1114751,30.728572556799314,44.87542386318729
1760541662.546081,2025-10-15 17:21:02,48.872575,-61.9814484,-63.0056078,-62.1138504,-61.9814484,-63.0056078,-62.1138504,30.518096675834116,44.84557444454586
1760541662.590087,2025-10-15 17:21:02,48.916581,-61.986925,-64.3012338,-62.1138504,-61.986925,-64.3012338,-62.1138504,29.001663447555647,44.624229084291585
1760541662.592087,2025-10-15 17:21:02,48.918582,-61.986925,-64.3012338,-62.113574,-61.986925,-64.3012338,-62.113574,28.935361269981275,44.614289090800696
1760541662.640139,2025-10-15 17:21:02,48.966634,-61.986925,-65.9170501,-62.113574,-61.986925,-65.9170501,-62.113574,27.36722113613443,44.37230701446947
1760541662.647139,2025-10-15 17:21:02,48.973633,-62.0037541,-65.9170501,-62.113574,-62.0037541,-65.9170501,-62.113574,27.14861424892614,44.33747666727669
